;;A:A;B:B;C:C;D:D;E:E;F:F;G:G;H:H;I:I;J:J
;;Survived;Pclass;Sex;Age;SibSp;Parch;Ticket;Fare;Cabine;Embarked
A:A;Survived;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
B:B;Pclass;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
C:C;Sex;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
D:D;Age;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
E:E;SibSp;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
F:F;Parch;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
G:G;Ticket;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
H:H;Fare;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
I:I;Cabin;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
J:J;Embarked;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;A:A;B:B;C:C;D:D;E:E;F:F;G:G;H:H;I:I;J:J
;;Survived;Pclass;Sex;Age;SibSp;Parch;Ticket;Fare;Cabine;Embarked
A:A;Survived;1;-0,338481036;-0,543351381;-0,048488057;-0,035322499;0,081629407;-0,122463549;0,199535638;#DIV/0!;-0,169717677
B:B;Pclass;-0,338481036;1;0,131900491;-0,389087071;0,083081363;0,018442671;0,275150697;-0,501133591;#DIV/0!;0,164680706
C:C;Sex;-0,543351381;0,131900491;1;0,091107852;-0,11463081;-0,24548896;0,046483777;-0,139247535;#DIV/0!;0,110319962
D:D;Age;-0,048488057;-0,389087071;0,091107852;1;-0,303576812;-0,17661129;-0,165146762;0,021413038;#DIV/0!;-0,045330533
E:E;SibSp;-0,035322499;0,083081363;-0,11463081;-0,303576812;1;0,414837699;0,269342138;0,583732077;#DIV/0!;0,068899913
F:F;Parch;0,081629407;0,018442671;-0,24548896;-0,17661129;0,414837699;1;0,088721928;0,611092704;#DIV/0!;0,04044863
G:G;Ticket;-0,122463549;0,275150697;0,046483777;-0,165146762;0,269342138;0,088721928;1;-0,331486758;#DIV/0!;0,185480986
H:H;Fare;0,199535638;-0,501133591;-0,139247535;0,021413038;0,583732077;0,611092704;-0,331486758;1;#DIV/0!;-0,008578805
I:I;Cabin;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
J:J;Embarked;-0,169717677;0,164680706;0,110319962;-0,045330533;0,068899913;0,04044863;0,185480986;-0,008578805;#DIV/0!;1
;;;;;;;;;;;
;;;;;;;;;;;
;;A:A;B:B;C:C;D:D;E:E;F:F;G:G;H:H;I:I;J:J
;;Survived;Pclass;Sex;Age;SibSp;Parch;Ticket;Fare;Cabine;Embarked
A:A;Survived;1;0,34;0,54;0,05;0,04;0,08;0,12;0,2;#DIV/0!;0,17
B:B;Pclass;0,34;1;0,13;0,39;0,08;0,02;0,28;0,5;#DIV/0!;0,16
C:C;Sex;0,54;0,13;1;0,09;0,11;0,25;0,05;0,14;#DIV/0!;0,11
D:D;Age;0,05;0,39;0,09;1;0,3;0,18;0,17;0,02;#DIV/0!;0,05
E:E;SibSp;0,04;0,08;0,11;0,3;1;0,41;0,27;0,58;#DIV/0!;0,07
F:F;Parch;0,08;0,02;0,25;0,18;0,41;1;0,09;0,61;#DIV/0!;0,04
G:G;Ticket;0,12;0,28;0,05;0,17;0,27;0,09;1;0,33;#DIV/0!;0,19
H:H;Fare;0,2;0,5;0,14;0,02;0,58;0,61;0,33;1;#DIV/0!;0,01
I:I;Cabin;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
J:J;Embarked;0,17;0,16;0,11;0,05;0,07;0,04;0,19;0,01;#DIV/0!;1
